"ID";"Catégorie";"Produit";"Prix (F CFA)";"Stock"
"d3986a8c-1dab-405f-a6cf-134acfb85d17";"Glaces — Pots 5 000 F";"Glace Nutella — Pot 5 000 F";"5000";"100"
"385ac522-84ad-4198-ab41-7a53880b85a8";"Glaces — Pots 5 000 F";"Glace Oréo — Pot 5 000 F";"5000";"100"
"94c9233d-2ae7-403b-b2b1-1a8116b358a6";"Glaces — Pots 5 000 F";"Glace Vanille — Pot 5 000 F";"5000";"100"
"831e2825-383e-4c04-8308-691879206746";"Gâteaux — Grands";"Gâteau Caramel — Grand";"20000";"100"
"70ec7725-0a44-4a61-9c3d-50e10eeb4be2";"Gâteaux — Grands";"Gâteau Chocolat — Grand";"20000";"100"
"a159107d-50bf-4bc9-b24d-108d4d141d9b";"Gâteaux — Grands";"Gâteau Céréales — Grand";"20000";"100"
"f1cc5d4d-29b3-4fe6-9918-ca5ae5e5a59b";"Gâteaux — Grands";"Gâteau Fruits — Grand";"20000";"100"
"fc623fc3-4c83-4c52-9e34-836a58ab2232";"Gâteaux — Grands";"Gâteau Vanille — Grand";"20000";"100"
"38b38b38-55f1-4d1b-befb-df4852db6112";"Gâteaux — Moyens";"Gâteau Caramel — Moyen";"15000";"100"
"2d633e1a-af8a-4aaa-b4de-f677e9e9f834";"Gâteaux — Moyens";"Gâteau Chocolat — Moyen";"15000";"100"
"2d53a538-3a92-49c8-b83c-3e14bdb438b0";"Gâteaux — Moyens";"Gâteau Céréales — Moyen";"15000";"100"
"ae9dc789-9132-41be-8f07-60d0b62b0d43";"Gâteaux — Moyens";"Gâteau Fruits — Moyen";"15000";"100"
"f83484d2-91b3-44f8-abce-92c6b993155e";"Gâteaux — Moyens";"Gâteau Vanille — Moyen";"15000";"100"
"8eaf2487-b5cc-4827-ac87-348558b72301";"Gâteaux — Parts";"Gâteau Caramel — 1 part";"2500";"100"
"e152868f-8c66-4f05-bec7-43571d3d7d06";"Gâteaux — Parts";"Gâteau Chocolat — 1 part";"2500";"100"
"495c7fbc-1416-4172-8b44-77c42c7e167f";"Gâteaux — Parts";"Gâteau Céréales — 1 part";"2500";"100"
"8e9c4c4f-786e-48b4-9b25-19c13a65d1d8";"Gâteaux — Parts";"Gâteau Fruits — 1 part";"2500";"100"
"2d95cbe6-9da1-4993-972e-098072cb96a8";"Gâteaux — Parts";"Gâteau Vanille — 1 part";"2500";"100"
"a7b95c6f-68a0-4f3f-92f1-efbd54dddf39";"Gâteaux — Personnalisés";"Gâteau personnalisé — à partir de";"25000";"100"
"aecb2d66-5d76-4090-81f7-1db65b6443c3";"Gâteaux — Personnalisés";"Gâteau pâte à sucre — à partir de";"35000";"100"
"a1b44dd8-58b1-4b84-8fd4-a2082e96ee8b";"Gâteaux — Petits";"Gâteau Caramel — Petit";"10000";"100"
"834b94a6-12e8-4a3a-bf7b-0ba3624f6854";"Gâteaux — Petits";"Gâteau Chocolat — Petit";"10000";"100"
"42461ede-5fd3-41de-8079-240b4bc228aa";"Gâteaux — Petits";"Gâteau Céréales — Petit";"10000";"100"
"783878ab-cf9e-4645-9766-b20b31631273";"Gâteaux — Petits";"Gâteau Fruits — Petit";"10000";"100"
"d2d13283-d780-412b-a7ea-324b4bf17069";"Gâteaux — Petits";"Gâteau Vanille — Petit";"10000";"100"
"ff5b962a-10d8-467b-80b1-a0bd5bc8f390";"Mignardises";"10 burgers";"5000";"100"
"d260997d-30f7-4699-b55d-726cd96e5664";"Mignardises";"10 croissants au jambon";"7500";"100"
"43796e6f-3bc3-4069-858c-906010627969";"Mignardises";"10 croque-monsieur";"5000";"100"
"b824dac2-ac28-461d-a0ea-2c302be125f9";"Mignardises";"10 crêpes chocolat";"5000";"100"
"8d049f11-4ee7-495b-ace2-0b54508da317";"Mignardises";"10 pastels au jambon";"7500";"100"
"ed3af4ad-3998-484c-a71c-168909e8fc4f";"Mignardises";"10 samoussas";"5000";"100"
"18e4a5c0-92f4-4dc6-b48e-5e46db60ee41";"Mignardises";"12 allumettes";"5000";"100"
"3340a264-136f-4dd2-b07d-599ce073bfcf";"Mignardises";"12 choux";"5000";"100"
"c3467458-aad0-4684-bd6b-47c13991b003";"Mignardises";"12 mini crêpes nature";"5000";"100"
"bfb7d958-7e04-40d9-aece-4f304d5ae5ac";"Mignardises";"12 mini pizzas";"5000";"100"
"7241a97b-72a6-4c7f-8052-7045e699912f";"Mignardises";"12 quiches";"5000";"100"
"71bb7dca-9d6e-4e47-9639-c6c30d5e5f7f";"Mignardises";"20 cakes";"5000";"100"
"4b4d99a3-09d1-4a15-8ddd-759b0acb8a43";"Petit déjeuner";"Cappuccino";"1000";"100"
"f7768c4c-b551-44da-96bc-a23b0fca19bc";"Petit déjeuner";"Chocolat chaud";"1500";"100"
"8206d79b-9fb5-4b29-83ea-44188cd2fc8a";"Petit déjeuner";"Croissant";"500";"100"
"d49a4ce5-3e92-467d-ae7c-e857a6021873";"Petit déjeuner";"Expresso";"1000";"100"
"748ee01a-fc9c-4a97-afa9-072a18a64c73";"Petit déjeuner";"Pain au chocolat";"500";"100"
"26e5a287-4016-469d-bdca-ed5803e7bc06";"Petit déjeuner";"Pain brochette";"1500";"100"
"3442ba84-7a0f-450d-bc66-f4806bf1693f";"Petit déjeuner";"Sandwich";"1500";"100"
"b2b9f464-4c21-4d5f-8636-b2e39f153d30";"Petit déjeuner";"Thé";"1000";"100"
"231b8392-fa8f-407f-8751-eb4ddec500f2";"Pizza — Grande";"Pizza 4 Saisons — Grande";"12000";"100"
"bbf370b7-9cc0-4952-ab2e-8403e4abff5e";"Pizza — Grande";"Pizza Bolognaise — Grande";"10000";"100"
"ba69ef1e-4f1a-4eb7-a443-c952c8e940b9";"Pizza — Grande";"Pizza Crémière — Grande";"10000";"100"
"6df8bfc2-d7a6-4ae0-a544-b73403a67fa8";"Pizza — Grande";"Pizza Forestière — Grande";"10000";"100"
"eef4219d-6db0-4cdb-85c7-5ab3a354115b";"Pizza — Grande";"Pizza Fromage — Grande";"10000";"100"
"426b0dd0-bdb4-4684-b613-fb959ba418e5";"Pizza — Grande";"Pizza Jambon — Grande";"10000";"100"
"a40f7958-bd34-4302-b6c4-9ab6b14aa094";"Pizza — Grande";"Pizza Pepperoni — Grande";"10000";"100"
"023f9056-8b99-408d-a56e-b71e0e5a56b4";"Pizza — Grande";"Pizza Poulet — Grande";"10000";"100"
"420f59da-39a0-495c-9277-756646a31d8b";"Pizza — Grande";"Pizza Royale — Grande";"10000";"100"
"aa797052-a850-4d30-99c3-d46cfd1a0d19";"Pizza — Moyenne";"Pizza 4 Saisons — Moyenne";"10000";"100"
"004bf9ff-2f55-430d-8fb9-503654fe2e87";"Pizza — Moyenne";"Pizza Bolognaise — Moyenne";"8000";"100"
"995f14eb-5317-4897-8488-7e0b18d78af5";"Pizza — Moyenne";"Pizza Crémière — Moyenne";"8000";"100"
"6bc3736f-8f99-4514-9e40-b15f1f4d4777";"Pizza — Moyenne";"Pizza Forestière — Moyenne";"8000";"100"
"456ae3db-78a5-4ec2-9385-16f36a62e651";"Pizza — Moyenne";"Pizza Fromage — Moyenne";"8000";"100"
"866a7aa0-2be4-4b7b-8cfe-59a81aab607e";"Pizza — Moyenne";"Pizza Jambon — Moyenne";"8000";"100"
"f3fae507-2bbf-41e4-992a-eb7a27ec6379";"Pizza — Moyenne";"Pizza Pepperoni — Moyenne";"8000";"100"
"29ab09ee-5bcb-4af2-a97e-813530272f58";"Pizza — Moyenne";"Pizza Poulet — Moyenne";"8000";"100"
"fbf56101-3eee-48d9-9882-75401f7a4da1";"Pizza — Moyenne";"Pizza Royale — Moyenne";"8000";"100"
"de05e45b-f51e-4675-9a58-fb0f73eafdb0";"Pizza — Petite";"Pizza 4 Saisons — Petite";"8000";"100"
"50a18961-0aa9-4e4b-a596-45f566b0ef26";"Pizza — Petite";"Pizza Bolognaise — Petite";"5000";"100"
"f6b4c80b-9e9d-4a5f-b529-583a6bcf9d30";"Pizza — Petite";"Pizza Crémière — Petite";"5000";"100"
"b9e53e42-f514-401e-b0ce-20e3e1e3cd21";"Pizza — Petite";"Pizza Forestière — Petite";"5000";"100"
"1dfaff9b-eddc-467e-a4ff-3fe7e8194d33";"Pizza — Petite";"Pizza Fromage — Petite";"5000";"100"
"4a5640d9-7d06-4e82-acf3-d362cca89cc8";"Pizza — Petite";"Pizza Jambon — Petite";"5000";"100"
"2c3442fd-a38b-492b-905d-74cba63ca80c";"Pizza — Petite";"Pizza Pepperoni — Petite";"5000";"100"
"c52d62af-0fcc-4506-9bed-01133e370954";"Pizza — Petite";"Pizza Poulet — Petite";"5000";"100"
"f6a0174c-3e66-41d7-8021-a328c73034e8";"Pizza — Petite";"Pizza Royale — Petite";"5000";"100"
"563cefab-d497-4a62-9c09-1f10720be985";"Plats africains";"Gouagouassou / Riz";"2500";"100"
"2af7e717-69c9-45a4-ae78-d3d599f2ec70";"Plats africains";"Poisson braisé / Attiéké";"2500";"100"
"f134e5a8-09b1-4935-b12b-ddb5a9b95b20";"Plats africains";"Pondeuse kedjenou / Attiéké";"2500";"100"
"374dcbe4-6f9a-423a-b6f8-7109fea54b36";"Plats africains";"Poulet braisé / Attiéké";"2500";"100"
"f5f994e9-dec3-4a3e-a5f8-afac90dac247";"Plats africains";"Sauce graine / Riz";"2500";"100"
"ee59ba27-b6f7-40e6-b929-0045094bb347";"Plats africains";"Sauce kôpè / Placali";"2000";"100"
"3f8148e1-aeed-46fa-866e-4d3d7c511bca";"Plats africains";"Sauce légumes / Riz";"2500";"100"
"1c19a2de-b8e1-4923-ae87-07bcce3a0891";"Plats africains";"Sosso frit / Attiéké";"2500";"100"
"0a54efb6-f5d8-4caf-b26e-a912fcdce204";"Plats africains";"Soupe de carpe / Attiéké";"2500";"100"
"c26a6e1b-2955-44bd-ba4e-76c75e614dd0";"Salades";"Salade composée";"3000";"100"
"83e600b7-a80c-4de8-b171-4a39c7cee847";"Salades";"Salade macédoine";"5000";"100"
"fdfee9fb-bdeb-4626-830f-2c294719d6b6";"Salades";"Salade nature";"2500";"100"
"a98459ed-7b2e-402a-9cab-2293474a4919";"Suppléments";"Alloco grillé";"1000";"100"
"cc5b7b77-9411-419e-99b4-46221d032ddf";"Suppléments";"Attiéké";"500";"100"
"773590f9-f67c-447e-995c-4057ef5589bd";"Suppléments";"Couscous";"1000";"100"
"daf2d628-feac-412e-8197-175c25212491";"Suppléments";"Fou fou";"1000";"100"
"ef42e0c8-fa5d-4513-a6d6-25b4699d630c";"Suppléments";"Foutou";"1000";"100"
"89d48ba1-44ec-4fbb-9673-1a7a43f43d95";"Suppléments";"Placali";"500";"100"
"f5dd0c30-603c-4875-8c0d-ce58d8d962a2";"Suppléments";"Pomme de terre sautée";"1000";"100"
"180aae28-10b8-4135-9296-f67c6eee280f";"Suppléments";"Riz";"500";"100"
